id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
232,Angas Plains,,SA,South Australia,5255,Rural locality,-35.33490,138.96945,21,81,25376,41.39000,Alexandrina,South Australia - South East,Australia/Adelaide
233,Angaston,,SA,South Australia,5353,Urban locality,-34.50115,139.04683,354,2202,38116,79.59200,Barossa,Barossa - Yorke - Mid North,Australia/Adelaide
234,Angas Valley,,SA,South Australia,5238,Rural locality,-34.75513,139.30616,79,52,22516,50.23400,Mid Murray,South Australia - South East,Australia/Adelaide
235,Angelo River,,WA,Western Australia,6642,Rural locality,-24.07860,118.01042,356,3,27924,13971.80300,Meekatharra,Western Australia - Outback (South),Australia/Perth
236,Angledale,,NSW,New South Wales,2550,Rural locality,-36.63575,149.85715,51,167,35360,26.81300,Bega Valley,Capital Region,Australia/Sydney
237,Angledool,,NSW,New South Wales,2834,Rural locality,-29.11312,147.90256,151,34,24232,689.31400,Brewarrina,Far West and Orana,Australia/Sydney
238,Angle Park,Adelaide,SA,South Australia,5010,Suburb,-34.85913,138.56067,11,1555,26832,1.07000,Port Adelaide Enfield,Adelaide - West,Australia/Adelaide
239,Anglers Reach,,NSW,New South Wales,2629,Rural locality,-35.99920,148.66485,1189,78,25116,11.12700,Snowy Monaro Regional,Capital Region,Australia/Sydney
240,Anglers Rest,,VIC,Victoria,3898,Rural locality,-37.01433,147.45141,845,31,19916,86.50400,East Gippsland,Latrobe - Gippsland,Australia/Melbourne
241,Anglesea,,VIC,Victoria,3230,Urban locality,-38.40513,144.18927,10,3208,44304,96.76000,Surf Coast,Geelong,Australia/Melbourne
242,Angle Vale,,SA,South Australia,5117,Urban locality,-34.64077,138.64660,37,4051,46488,14.05400,Playford,Adelaide - North,Australia/Adelaide
243,Angourie,,NSW,New South Wales,2464,Urban locality,-29.48101,153.35996,35,192,35724,3.53600,Clarence Valley,Coffs Harbour - Grafton,Australia/Sydney
244,Angurugu,,NT,Northern Territory,0822,Urban locality,-13.98119,136.46121,16,883,14196,1.51300,East Arnhem,Northern Territory - Outback,Australia/Darwin
245,Angus,Sydney,NSW,New South Wales,2765,Suburb,-33.68222,150.83416,40,384,39364,6.09000,Blacktown,Sydney - Blacktown,Australia/Sydney
246,Anindilyakwa,,NT,Northern Territory,0822,Rural locality,-13.97005,136.59334,122,375,22828,2592.73700,East Arnhem,Northern Territory - Outback,Australia/Darwin
247,Anketell,,WA,Western Australia,6167,Rural locality,-32.21870,115.86538,22,280,40144,6.82200,Kwinana,Perth - South West,Australia/Perth
248,Anmatjere,,NT,Northern Territory,0872,Rural locality,-22.00828,133.46465,529,446,14716,54462.87400,Central Desert,Northern Territory - Outback,Australia/Darwin
249,Anna Bay,,NSW,New South Wales,2316,Urban locality,-32.77692,152.08327,7,4221,31824,22.25000,Port Stephens,Hunter Valley exc Newcastle,Australia/Sydney
250,Anna Creek,,SA,South Australia,5723,Rural locality,-29.48255,135.75279,143,176,92092,19144.33900,Unincorporated,South Australia - Outback,Australia/Adelaide
251,Annadale,,SA,South Australia,5356,Rural locality,-34.38932,139.38842,73,37,22100,46.77100,Mid Murray,South Australia - South East,Australia/Adelaide
252,Annandale,Sydney,NSW,New South Wales,2038,Suburb,-33.88144,151.17068,32,9487,74984,1.49300,Inner West,Sydney - Inner West,Australia/Sydney
