id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
365,Arthurton,,SA,South Australia,5572,Rural locality,-34.25753,137.75640,204,157,38324,145.01100,Yorke Peninsula,Barossa - Yorke - Mid North,Australia/Adelaide
366,Arthurville,,NSW,New South Wales,2820,Rural locality,-32.55484,148.74271,310,47,49348,72.54000,Dubbo Regional,Far West and Orana,Australia/Sydney
367,Arumbera,,NT,Northern Territory,0873,Rural locality,-23.78482,133.81467,558,257,16536,70.08800,Alice Springs,Northern Territory - Outback,Australia/Darwin
368,Arumpo,,NSW,New South Wales,2715,Rural locality,-33.87362,142.88526,77,40,48256,5396.40800,Wentworth,Murray,Australia/Sydney
369,Arundel,Gold Coast,QLD,Queensland,4214,Suburb,-27.93971,153.37278,14,11171,37180,10.38300,Gold Coast,Gold Coast,Australia/Brisbane
370,Ascot,Brisbane,QLD,Queensland,4007,Suburb,-27.43027,153.05868,35,6531,60476,2.79900,Brisbane,Brisbane Inner City,Australia/Brisbane
371,Ascot,,QLD,Queensland,4359,Rural locality,-27.82540,151.99673,466,106,42328,33.48400,Toowoomba,Darling Downs - Maranoa,Australia/Brisbane
372,Ascot,,VIC,Victoria,3364,Rural locality,-37.40088,143.80251,416,93,38116,36.42900,Ballarat,Ballarat,Australia/Melbourne
373,Ascot,Bendigo,VIC,Victoria,3551,Suburb,-36.71225,144.33338,198,2571,43628,10.55200,Greater Bendigo,Bendigo,Australia/Melbourne
374,Ascot,Perth,WA,Western Australia,6104,Suburb,-31.94068,115.92300,4,3095,53820,3.76100,Belmont,Perth - South East,Australia/Perth
375,Ascot Park,Adelaide,SA,South Australia,5043,Suburb,-34.98693,138.56464,26,3588,40716,1.00400,Marion,Adelaide - South,Australia/Adelaide
376,Ascot Vale,Melbourne,VIC,Victoria,3032,Suburb,-37.77583,144.92338,38,15197,56160,3.83900,Moonee Valley,Melbourne - Inner,Australia/Melbourne
377,Ashbourne,,SA,South Australia,5157,Rural locality,-35.28283,138.77018,154,308,38272,58.45600,Alexandrina,South Australia - South East,Australia/Adelaide
378,Ashbourne,,VIC,Victoria,3442,Rural locality,-37.40543,144.45857,648,242,58864,37.84300,Macedon Ranges,Bendigo,Australia/Melbourne
379,Ashburton,Melbourne,VIC,Victoria,3147,Suburb,-37.86339,145.07942,60,7952,52104,2.92300,Boroondara,Melbourne - Inner East,Australia/Melbourne
380,Ashbury,Sydney,NSW,New South Wales,2193,Suburb,-33.90190,151.11932,20,3353,46384,1.03100,Canterbury-Bankstown,Sydney - Inner West,Australia/Sydney
381,Ashby,,NSW,New South Wales,2463,Rural locality,-29.42393,153.18745,25,316,28288,14.03000,Clarence Valley,Coffs Harbour - Grafton,Australia/Sydney
382,Ashby,Perth,WA,Western Australia,6065,Suburb,-31.73421,115.79245,39,2850,39520,1.40300,Wanneroo,Perth - North West,Australia/Perth
383,Ashby Heights,,NSW,New South Wales,2463,Rural locality,-29.41374,153.17939,122,292,26208,32.34900,Clarence Valley,Coffs Harbour - Grafton,Australia/Sydney
384,Ashby Island,,NSW,New South Wales,2463,Rural locality,-29.43097,153.20263,1,18,35724,2.41000,Clarence Valley,Coffs Harbour - Grafton,Australia/Sydney
385,Ashcroft,Sydney,NSW,New South Wales,2168,Suburb,-33.91759,150.89910,17,3634,23816,1.15400,Liverpool,Sydney - South West,Australia/Sydney
386,Ashendon,,WA,Western Australia,6111,Rural locality,-32.23124,116.14054,349,3,0,210.52500,Armadale,Perth - South East,Australia/Perth
387,Ashfield,Sydney,NSW,New South Wales,2131,Suburb,-33.88953,151.12586,47,23012,46280,3.41400,Inner West,Sydney - Inner West,Australia/Sydney
388,Ashfield,Bundaberg,QLD,Queensland,4670,Suburb,-24.87276,152.39614,26,1152,45864,4.88400,Bundaberg,Wide Bay,Australia/Brisbane
389,Ashfield,Perth,WA,Western Australia,6054,Suburb,-31.91520,115.93764,23,1395,42484,0.74100,Bassendean,Perth - North East,Australia/Perth
390,Ashford,,NSW,New South Wales,2361,Urban locality,-29.32125,151.09608,430,659,23972,681.04700,Inverell,New England and North West,Australia/Sydney
391,Ashford,Adelaide,SA,South Australia,5035,Suburb,-34.94871,138.57395,31,1157,45396,0.32900,West Torrens,Adelaide - West,Australia/Adelaide
392,Ashgrove,Brisbane,QLD,Queensland,4060,Suburb,-27.44560,152.99212,38,13450,60008,5.82600,Brisbane,Brisbane Inner City,Australia/Brisbane
393,Ashley,,NSW,New South Wales,2400,Urban locality,-29.31777,149.80806,204,351,49660,332.76700,Moree Plains,New England and North West,Australia/Sydney
394,Ashmont,Wagga Wagga,NSW,New South Wales,2650,Suburb,-35.12318,147.32996,190,3747,30004,2.42900,Wagga Wagga,Riverina,Australia/Sydney
395,Ashmore,Gold Coast,QLD,Queensland,4214,Suburb,-27.98638,153.38205,27,12415,38480,6.83100,Gold Coast,Gold Coast,Australia/Brisbane
396,Ashton,,SA,South Australia,5137,Rural locality,-34.93973,138.73739,546,481,49088,6.74300,Adelaide Hills,Adelaide - Central and Hills,Australia/Adelaide
397,Ashtonfield,Maitland,NSW,New South Wales,2323,Suburb,-32.77382,151.60100,43,4589,46332,6.83400,Maitland,Hunter Valley exc Newcastle,Australia/Sydney
398,Ashville,,SA,South Australia,5259,Rural locality,-35.51045,139.36576,7,28,46800,113.22800,Coorong,South Australia - South East,Australia/Adelaide
399,Ashwell,,QLD,Queensland,4340,Rural locality,-27.62846,152.56010,73,97,35724,7.53400,Ipswich,Ipswich,Australia/Brisbane
400,Ashwood,Melbourne,VIC,Victoria,3147,Suburb,-37.86469,145.09306,76,7154,43160,2.54500,Monash,Melbourne - South East,Australia/Melbourne
401,Aspendale,Melbourne,VIC,Victoria,3195,Suburb,-38.02648,145.10191,10,7285,53196,3.02900,Kingston,Melbourne - Inner South,Australia/Melbourne
402,Aspendale Gardens,Melbourne,VIC,Victoria,3195,Suburb,-38.02346,145.11837,5,6427,42120,3.24000,Kingston,Melbourne - Inner South,Australia/Melbourne
403,Aspley,Brisbane,QLD,Queensland,4034,Suburb,-27.36386,153.01574,25,12871,43992,6.41100,Brisbane,Brisbane - North,Australia/Brisbane
404,Asquith,Sydney,NSW,New South Wales,2077,Suburb,-33.68748,151.10869,186,6160,54132,3.50300,Hornsby,Sydney - North Sydney and Hornsby,Australia/Sydney
405,Athelstone,Adelaide,SA,South Australia,5076,Suburb,-34.86980,138.70285,121,9601,43108,6.20400,Campbelltown,Adelaide - Central and Hills,Australia/Adelaide
406,Atherton,,QLD,Queensland,4883,Urban locality,-17.26827,145.47457,766,7724,33332,94.18600,Tablelands,Cairns,Australia/Brisbane
407,Athlone,,VIC,Victoria,3818,Rural locality,-38.23990,145.77982,79,147,42068,30.36000,Baw Baw,Latrobe - Gippsland,Australia/Melbourne
408,Athol,,QLD,Queensland,4350,Rural locality,-27.61535,151.77485,517,139,42120,26.74600,Toowoomba,Darling Downs - Maranoa,Australia/Brisbane
409,Athol Park,Adelaide,SA,South Australia,5012,Suburb,-34.85768,138.54263,9,2023,33800,0.94300,Charles Sturt,Adelaide - West,Australia/Adelaide
410,Atholwood,,NSW,New South Wales,2361,Rural locality,-28.99964,151.05801,420,68,26624,454.45600,Inverell,New England and North West,Australia/Sydney
411,Atitjere,,NT,Northern Territory,0872,Urban locality,-22.98305,134.93172,571,204,17992,7.01400,Central Desert,Northern Territory - Outback,Australia/Darwin
412,Atkinsons Dam,,QLD,Queensland,4311,Rural locality,-27.42101,152.45551,63,191,27820,26.68900,Somerset,Ipswich,Australia/Brisbane
413,Attadale,Perth,WA,Western Australia,6156,Suburb,-32.02581,115.80135,18,6638,55432,3.11400,Melville,Perth - South West,Australia/Perth
414,Attunga,,NSW,New South Wales,2345,Rural locality,-30.89480,150.82465,469,542,39364,218.72100,Tamworth Regional,New England and North West,Australia/Sydney
415,Attwood,Melbourne,VIC,Victoria,3049,Suburb,-37.66752,144.88529,120,3309,42848,5.05900,Hume,Melbourne - North West,Australia/Melbourne
416,Atwell,Perth,WA,Western Australia,6164,Suburb,-32.13280,115.86059,26,9287,48828,3.54100,Cockburn,Perth - South West,Australia/Perth
417,Aubigny,,QLD,Queensland,4401,Rural locality,-27.52223,151.64174,418,283,45604,57.54000,Toowoomba,Darling Downs - Maranoa,Australia/Brisbane
418,Aubin Grove,Perth,WA,Western Australia,6164,Suburb,-32.16841,115.86112,27,6786,56472,2.47300,Cockburn,Perth - South West,Australia/Perth
419,Aubrey,,VIC,Victoria,3393,Rural locality,-36.24110,142.23414,118,3,31824,61.60900,Yarriambiack,North West,Australia/Melbourne
420,Auburn,Sydney,NSW,New South Wales,2144,Suburb,-33.84932,151.03342,24,39333,30160,8.56400,Cumberland,Sydney - Parramatta,Australia/Sydney
421,Auburn,,QLD,Queensland,4413,Rural locality,-25.99990,150.50818,308,23,71500,1156.86600,Western Downs,Darling Downs - Maranoa,Australia/Brisbane
422,Auburn,,SA,South Australia,5451,Urban locality,-34.02800,138.68164,319,668,37336,119.85300,Clare and Gilbert Valleys,Barossa - Yorke - Mid North,Australia/Adelaide
423,Auburn Vale,,NSW,New South Wales,2360,Rural locality,-29.83895,151.04172,637,127,40976,63.64700,Inverell,New England and North West,Australia/Sydney
424,Auchenflower,Brisbane,QLD,Queensland,4066,Suburb,-27.47553,152.99342,16,6053,56212,1.39000,Brisbane,Brisbane Inner City,Australia/Brisbane
425,Auchmore,,VIC,Victoria,3570,Rural locality,-36.47236,144.09569,120,5,74724,74.53300,Loddon,Bendigo,Australia/Melbourne
426,Augathella,,QLD,Queensland,4477,Urban locality,-25.79469,146.58661,372,393,34320,1459.05000,Murweh,Queensland - Outback,Australia/Brisbane
427,Augusta,,WA,Western Australia,6290,Urban locality,-34.31594,115.15973,35,1463,28132,29.94400,Augusta Margaret River,Bunbury,Australia/Perth
428,Augustine Heights,Brisbane,QLD,Queensland,4300,Suburb,-27.66915,152.89354,87,6088,57564,5.48000,Ipswich,Ipswich,Australia/Brisbane
429,Auldana,Adelaide,SA,South Australia,5072,Suburb,-34.91972,138.68440,199,629,54496,0.60900,Burnside,Adelaide - Central and Hills,Australia/Adelaide
430,Aurukun,,QLD,Queensland,4892,Rural locality,-13.60938,141.82845,51,1101,17212,7423.98900,Aurukun,Queensland - Outback,Australia/Brisbane
431,Austinmer,Wollongong,NSW,New South Wales,2515,Suburb,-34.30628,150.93456,8,2725,56160,3.35700,Wollongong,Illawarra,Australia/Sydney
432,Austins Ferry,Hobart,TAS,Tasmania,7011,Suburb,-42.77502,147.24882,42,2395,39624,2.13300,Glenorchy,Hobart,Australia/Hobart
433,Austinville,,QLD,Queensland,4213,Rural locality,-28.13582,153.31749,104,403,34944,22.40400,Gold Coast,Gold Coast,Australia/Brisbane
434,Austral,Sydney,NSW,New South Wales,2179,Suburb,-33.93311,150.81203,85,6847,48360,17.66100,Liverpool,Sydney - South West,Australia/Sydney
435,Austral Eden,,NSW,New South Wales,2440,Rural locality,-31.02195,152.93780,4,145,33176,13.61900,Kempsey,Mid North Coast,Australia/Sydney
436,Australia Plains,,SA,South Australia,5374,Rural locality,-34.09380,139.16909,272,41,21736,91.36900,Goyder,Barossa - Yorke - Mid North,Australia/Adelaide
437,Australind,Bunbury,WA,Western Australia,6233,Suburb,-33.27903,115.71443,7,15988,41444,23.06200,Harvey,Bunbury,Australia/Perth
438,Avalon,,VIC,Victoria,3212,Rural locality,-38.05097,144.45169,10,255,26572,45.16500,Greater Geelong,Geelong,Australia/Melbourne
439,Avalon Beach,Sydney,NSW,New South Wales,2107,Suburb,-33.63633,151.33060,10,10379,51740,5.15200,Northern Beaches,Sydney - Northern Beaches,Australia/Sydney
440,Aveley,Perth,WA,Western Australia,6069,Suburb,-31.78131,115.98923,29,13998,54392,6.10200,Swan,Perth - North East,Australia/Perth
441,Avenel,,VIC,Victoria,3664,Urban locality,-36.89279,145.23059,150,1112,38948,204.91000,Strathbogie,Hume,Australia/Melbourne
442,Avenell Heights,Bundaberg,QLD,Queensland,4670,Suburb,-24.89048,152.37388,27,5028,29432,3.05200,Bundaberg,Wide Bay,Australia/Brisbane
443,Avenue Range,,SA,South Australia,5273,Rural locality,-36.90180,140.23000,23,112,49348,316.59400,Naracoorte Lucindale,South Australia - South East,Australia/Adelaide
444,Avisford,,NSW,New South Wales,2850,Rural locality,-32.74558,149.48011,541,45,35048,18.30300,Mid-Western Regional,Central West,Australia/Sydney
445,Avoca,,NSW,New South Wales,2577,Rural locality,-34.61352,150.47932,756,208,45032,24.62500,Wingecarribee,Southern Highlands and Shoalhaven,Australia/Sydney
446,Avoca,Bundaberg,QLD,Queensland,4670,Suburb,-24.88185,152.31255,24,4912,32188,6.12100,Bundaberg,Wide Bay,Australia/Brisbane
447,Avoca,,TAS,Tasmania,7213,Rural locality,-41.78215,147.72044,209,192,22620,393.79900,Northern Midlands,Launceston and North East,Australia/Hobart
448,Avoca,,VIC,Victoria,3467,Urban locality,-37.08854,143.47380,242,1356,26156,102.80900,Pyrenees,Ballarat,Australia/Melbourne
449,Avoca Beach,Central Coast,NSW,New South Wales,2251,Suburb,-33.46494,151.43239,10,4708,48204,4.44200,Central Coast,Central Coast,Australia/Sydney
450,Avoca Dell,,SA,South Australia,5253,Rural locality,-35.08855,139.30897,6,166,43680,0.72000,Murray Bridge,South Australia - South East,Australia/Adelaide
451,Avoca Vale,,QLD,Queensland,4314,Rural locality,-26.75581,152.23556,151,20,31824,205.30300,Somerset,Moreton Bay - North,Australia/Brisbane
452,Avon,,NSW,New South Wales,2574,Rural locality,-34.35207,150.63475,370,0,0,265.82000,Wingecarribee,Illawarra,Australia/Sydney
453,Avon,,SA,South Australia,5501,Rural locality,-34.28116,138.33875,33,64,25220,50.40000,Wakefield,Barossa - Yorke - Mid North,Australia/Adelaide
454,Avondale,,NSW,New South Wales,2530,Rural locality,-34.51418,150.73377,54,1695,37700,18.31300,Wollongong,Illawarra,Australia/Sydney
455,Avondale,,QLD,Queensland,4670,Rural locality,-24.74144,152.16123,27,701,27040,70.04000,Bundaberg,Wide Bay,Australia/Brisbane
456,Avondale Heights,Melbourne,VIC,Victoria,3034,Suburb,-37.76946,144.86509,40,12388,34632,5.40900,Moonee Valley,Melbourne - North West,Australia/Melbourne
457,Avonmore,,VIC,Victoria,3559,Rural locality,-36.52988,144.60446,134,42,35724,70.56400,Greater Bendigo,Bendigo,Australia/Melbourne
458,Avon Plains,,VIC,Victoria,3477,Rural locality,-36.53999,142.89554,141,8,81224,62.30500,Northern Grampians,North West,Australia/Melbourne
459,Avonside,,NSW,New South Wales,2628,Rural locality,-36.36398,148.72882,1086,157,48256,57.36500,Snowy Monaro Regional,Capital Region,Australia/Sydney
460,Avonsleigh,Melbourne,VIC,Victoria,3782,Suburb,-37.92070,145.46725,278,844,45032,7.56200,Cardinia,Melbourne - South East,Australia/Melbourne
461,Avon Valley National Park,,WA,Western Australia,6084,Rural locality,-31.64627,116.20684,318,5,39624,74.96100,Swan,Perth - North East,Australia/Perth
462,Awaba,,NSW,New South Wales,2283,Urban locality,-33.00774,151.54341,59,430,40560,23.11900,Lake Macquarie,Newcastle and Lake Macquarie,Australia/Sydney
463,Axe Creek,,VIC,Victoria,3551,Rural locality,-36.84893,144.41948,248,452,41808,42.36600,Greater Bendigo,Bendigo,Australia/Melbourne
464,Axedale,,VIC,Victoria,3551,Urban locality,-36.78792,144.50413,174,984,42276,113.61400,Greater Bendigo,Bendigo,Australia/Melbourne
465,Aylmerton,Bowral - Mittagong,NSW,New South Wales,2575,Suburb,-34.41907,150.49274,599,195,40560,2.79600,Wingecarribee,Southern Highlands and Shoalhaven,Australia/Sydney
466,Ayr,,QLD,Queensland,4807,Urban locality,-19.57605,147.40517,16,8603,36452,28.47300,Burdekin,Townsville,Australia/Brisbane
467,Ayrford,,VIC,Victoria,3268,Rural locality,-38.41566,142.85945,97,39,39988,12.90000,Moyne,Warrnambool and South West,Australia/Melbourne
